Precinct Code,Precinct Name,Total Population,White alone (Population),White alone (Percentage),Black or African American alone (Population),Black or African American alone (Percentage),American Indian and Alaska Native alone (Population),American Indian and Alaska Native alone (Percentage),Asian alone (Population),Asian alone (Percentage),Native Hawaiian and Other Pacific Islander alone (Population),Native Hawaiian and Other Pacific Islander alone (Percentage),Some Other Race alone (Population),Some Other Race alone (Percentage),Population of two or more races (Population),Population of two or more races (Percentage)
C163,GREENBRIER,737,654,88.74%,11,1.49%,0,0.00%,26,3.53%,0,0.00%,16,2.17%,30,4.07%
A190,GREENWAY,1013,676,66.73%,175,17.28%,2,0.20%,31,3.06%,0,0.00%,39,3.85%,90,8.88%
A165,GRIFFIN GATE,463,394,85.10%,17,3.67%,6,1.30%,11,2.38%,0,0.00%,10,2.16%,25,5.40%
C171,GROVES POINT,980,627,63.98%,168,17.14%,0,0.00%,78,7.96%,0,0.00%,33,3.37%,74,7.55%
A117,HAMPTON COURT,1525,"1,200",78.69%,214,14.03%,4,0.26%,17,1.11%,1,0.07%,20,1.31%,69,4.52%
A157,HARRODS HILL,994,788,79.28%,17,1.71%,2,0.20%,107,10.76%,1,0.10%,6,0.60%,73,7.34%
B201,HARRODS VIEW,779,669,85.88%,8,1.03%,0,0.00%,73,9.37%,1,0.13%,0,0.00%,28,3.59%
C152,HARTLAND,991,889,89.71%,27,2.72%,0,0.00%,23,2.32%,1,0.10%,7,0.71%,44,4.44%
A181,HEADLEY GREEN,1020,869,85.20%,15,1.47%,3,0.29%,47,4.61%,0,0.00%,22,2.16%,64,6.27%
C216,HEARTWOOD,526,447,84.98%,20,3.80%,1,0.19%,5,0.95%,1,0.19%,12,2.28%,40,7.60%
C125,HELM,1200,962,80.17%,72,6.00%,6,0.50%,17,1.42%,0,0.00%,55,4.58%,88,7.33%
A193,HEMINGWAY,1117,759,67.95%,20,1.79%,6,0.54%,274,24.53%,0,0.00%,7,0.63%,51,4.57%
C127,HERMITAGE,1093,779,71.27%,164,15.00%,3,0.27%,5,0.46%,0,0.00%,47,4.30%,95,8.69%
A152,HIGHLANDS,1579,802,50.79%,420,26.60%,10,0.63%,20,1.27%,1,0.06%,144,9.12%,182,11.53%
B114,HILL-N-DALE,666,577,86.64%,17,2.55%,3,0.45%,17,2.55%,0,0.00%,24,3.60%,28,4.20%
A118,HOLIDAY HILLS,1135,688,60.62%,160,14.10%,6,0.53%,10,0.88%,0,0.00%,129,11.37%,142,12.51%
A164,HOLLOW CREEK,850,278,32.71%,396,46.59%,4,0.47%,11,1.29%,3,0.35%,75,8.82%,83,9.76%
B226,HOLLYBERRY,1004,743,74.00%,48,4.78%,1,0.10%,138,13.75%,0,0.00%,21,2.09%,53,5.28%
C128,HOLLYWOOD,1520,"1,254",82.50%,60,3.95%,1,0.07%,103,6.78%,0,0.00%,19,1.25%,83,5.46%
A175,HORSE PARK,834,614,73.62%,43,5.16%,5,0.60%,9,1.08%,0,0.00%,90,10.79%,74,8.87%
C129,IDLE HOUR,539,465,86.27%,22,4.08%,0,0.00%,1,0.19%,0,0.00%,22,4.08%,29,5.38%
A173,IMPERIAL,2322,"1,680",72.35%,198,8.53%,1,0.04%,275,11.84%,2,0.09%,30,1.29%,136,5.86%
B199,INDIAN HILLS,761,672,88.30%,23,3.02%,0,0.00%,27,3.55%,0,0.00%,2,0.26%,37,4.86%
C132,JOHNSON HEIGHTS,1203,745,61.93%,317,26.35%,1,0.08%,24,2.00%,0,0.00%,47,3.91%,69,5.74%
C130,JULIA R EWAN,632,549,86.87%,5,0.79%,1,0.16%,6,0.95%,0,0.00%,21,3.32%,50,7.91%
A120,JULIUS MARKS,1366,302,22.11%,576,42.17%,17,1.24%,8,0.59%,1,0.07%,336,24.60%,126,9.22%
B117,KEITHSHIRE,968,883,91.22%,19,1.96%,1,0.10%,13,1.34%,0,0.00%,6,0.62%,46,4.75%
C182,KENESAW VILLAGE,859,664,77.30%,96,11.18%,1,0.12%,25,2.91%,0,0.00%,9,1.05%,64,7.45%
B146,KENLOCK,1932,"1,422",73.60%,148,7.66%,2,0.10%,203,10.51%,1,0.05%,36,1.86%,120,6.21%
A191,KENOVA TRACE,1202,753,62.65%,260,21.63%,0,0.00%,36,3.00%,0,0.00%,56,4.66%,97,8.07%
A121,KEYS,1392,666,47.84%,316,22.70%,12,0.86%,9,0.65%,1,0.07%,218,15.66%,170,12.21%
C153,KINGSTON,1121,690,61.55%,275,24.53%,4,0.36%,5,0.45%,1,0.09%,73,6.51%,73,6.51%
C126,KINGSWOOD,740,685,92.57%,3,0.41%,0,0.00%,3,0.41%,0,0.00%,7,0.95%,42,5.68%
B157,KIRKLEVINGTON,853,644,75.50%,111,13.01%,5,0.59%,29,3.40%,0,0.00%,22,2.58%,42,4.92%
B189,KITTIWAKE,1371,832,60.69%,354,25.82%,4,0.29%,12,0.88%,0,0.00%,51,3.72%,118,8.61%
B118,LAFAYETTE,907,814,89.75%,11,1.21%,1,0.11%,7,0.77%,0,0.00%,10,1.10%,64,7.06%
B119,LAKETOWER,679,545,80.27%,49,7.22%,0,0.00%,53,7.81%,0,0.00%,17,2.50%,15,2.21%
B166,LAKEVIEW,792,695,87.75%,31,3.91%,1,0.13%,28,3.54%,0,0.00%,6,0.76%,30,3.79%
A123,LANE ALLEN,1071,800,74.70%,104,9.71%,3,0.28%,15,1.40%,2,0.19%,66,6.16%,81,7.56%
B120,LANSDOWNE,470,401,85.32%,14,2.98%,3,0.64%,15,3.19%,0,0.00%,5,1.06%,32,6.81%
B190,LAREDO,1667,960,57.59%,414,24.84%,5,0.30%,46,2.76%,0,0.00%,87,5.22%,155,9.30%
B218,LAURELWOOD,888,794,89.41%,33,3.72%,0,0.00%,20,2.25%,0,0.00%,12,1.35%,29,3.27%
A185,LAWRENCE,3228,"2,283",70.72%,408,12.64%,6,0.19%,204,6.32%,1,0.03%,200,6.20%,126,3.90%
B121,LEAWOOD,1432,730,50.98%,136,9.50%,8,0.56%,129,9.01%,1,0.07%,283,19.76%,145,10.13%
B219,LEE ADAMS,869,729,83.89%,44,5.06%,2,0.23%,14,1.61%,0,0.00%,7,0.81%,73,8.40%
C218,LEVI TODD,1071,782,73.02%,76,7.10%,1,0.09%,129,12.04%,0,0.00%,8,0.75%,75,7.00%
C195,LIBERTY STATION,1004,671,66.83%,167,16.63%,4,0.40%,22,2.19%,0,0.00%,47,4.68%,93,9.26%
A204,LOCUST BLOSSOM,1319,766,58.07%,406,30.78%,8,0.61%,15,1.14%,0,0.00%,51,3.87%,73,5.53%
B221,MAGNOLIA GARDENS,716,614,85.75%,18,2.51%,3,0.42%,43,6.01%,0,0.00%,5,0.70%,33,4.61%
A194,MAJESTIC VIEW,925,599,64.76%,198,21.41%,2,0.22%,22,2.38%,0,0.00%,21,2.27%,83,8.97%
B125,MALABU,1009,851,84.34%,65,6.44%,0,0.00%,28,2.78%,0,0.00%,6,0.59%,59,5.85%
C154,MAN O WAR,742,520,70.08%,35,4.72%,2,0.27%,6,0.81%,2,0.27%,93,12.53%,83,11.19%
C228,MANY OAKS PARK,1035,758,73.24%,108,10.43%,4,0.39%,73,7.05%,0,0.00%,9,0.87%,83,8.02%
C196,MAPLELEAF,1099,720,65.51%,187,17.02%,0,0.00%,71,6.46%,1,0.09%,36,3.28%,84,7.64%
C219,MARKET GARDEN,1398,826,59.08%,362,25.89%,2,0.14%,100,7.15%,0,0.00%,23,1.65%,85,6.08%
A126,MARLBORO,913,246,26.94%,528,57.83%,5,0.55%,4,0.44%,0,0.00%,66,7.23%,64,7.01%
C155,MARY TODD,1062,600,56.50%,196,18.46%,4,0.38%,8,0.75%,2,0.19%,147,13.84%,105,9.89%
A170,MEADOW LANE,925,580,62.70%,164,17.73%,1,0.11%,0,0.00%,0,0.00%,109,11.78%,71,7.68%
A128,MEADOWTHORPE,1214,901,74.22%,103,8.48%,3,0.25%,83,6.84%,4,0.33%,15,1.24%,105,8.65%
