Precinct Code,Precinct Name,Total Population,White alone (Population),White alone (Percentage),Black or African American alone (Population),Black or African American alone (Percentage),American Indian and Alaska Native alone (Population),American Indian and Alaska Native alone (Percentage),Asian alone (Population),Asian alone (Percentage),Native Hawaiian and Other Pacific Islander alone (Population),Native Hawaiian and Other Pacific Islander alone (Percentage),Some Other Race alone (Population),Some Other Race alone (Percentage),Population of two or more races (Population),Population of two or more races (Percentage)
B200,WHITE PINE,843,565,67.02%,36,4.27%,1,0.12%,165,19.57%,0,0.00%,6,0.71%,70,8.30%
A198,WHITEBERRY,1066,602,56.47%,223,20.92%,8,0.75%,39,3.66%,0,0.00%,72,6.75%,122,11.44%
B106,WILDWOOD,1137,800,70.36%,112,9.85%,8,0.70%,40,3.52%,2,0.18%,72,6.33%,103,9.06%
C223,WILKES RUN,1263,902,71.42%,183,14.49%,6,0.48%,37,2.93%,4,0.32%,41,3.25%,90,7.13%
B223,WILLOW OAK,1092,826,75.64%,57,5.22%,0,0.00%,102,9.34%,0,0.00%,7,0.64%,100,9.16%
A144,WINBURN,1923,290,15.08%,"1,161",60.37%,7,0.36%,4,0.21%,3,0.16%,330,17.16%,128,6.66%
A201,WINDING OAK,847,502,59.27%,206,24.32%,0,0.00%,21,2.48%,2,0.24%,56,6.61%,60,7.08%
B224,WINDSTAR,1317,"1,054",80.03%,82,6.23%,7,0.53%,77,5.85%,1,0.08%,12,0.91%,84,6.38%
C150,WINTER GARDEN,1051,508,48.33%,379,36.06%,17,1.62%,11,1.05%,1,0.10%,53,5.04%,82,7.80%
A145,WOLF RUN,917,793,86.48%,21,2.29%,5,0.55%,8,0.87%,0,0.00%,28,3.05%,62,6.76%
C199,WOODFIELD,596,518,86.91%,21,3.52%,0,0.00%,5,0.84%,0,0.00%,1,0.17%,51,8.56%
C142,WOODLAND,1235,"1,126",91.17%,20,1.62%,6,0.49%,16,1.30%,0,0.00%,5,0.40%,62,5.02%
C143,WOODSPOINT,1218,538,44.17%,390,32.02%,7,0.57%,25,2.05%,0,0.00%,130,10.67%,128,10.51%
B203,WYNDSONG,938,847,90.30%,22,2.35%,0,0.00%,27,2.88%,0,0.00%,8,0.85%,34,3.62%
B147,ZANDALE,1004,783,77.99%,29,2.89%,3,0.30%,17,1.69%,2,0.20%,95,9.46%,75,7.47%
